Region,asset_count,total_capacity_mw,mean_exposure_score,high_screening_count,medium_screening_count,low_screening_count
Offshore,53,14713.5,2.056603773584906,5,43,5
Northern Ireland,118,1453.5,1.3728813559322033,1,62,55
Scotland,565,12382.83,1.0973451327433628,1,254,310
South West,529,3907.9,0.9224952741020794,1,119,409
East Midlands,268,2010.06,0.914179104477612,0,73,195
Eastern,326,3378.04,1.021472392638037,0,120,206
London,35,388.62,0.6571428571428571,0,8,27
North East,103,1319.61,0.912621359223301,0,28,75
North West,194,1572.56,0.711340206185567,0,38,156
South East,312,3468.95,1.0096153846153846,0,100,212
Wales,243,4549.0,1.037037037037037,0,76,167
West Midlands,145,1309.11,0.896551724137931,0,41,104
Yorkshire and Humber,167,4408.32,0.9640718562874252,0,57,110
