Ref ID,Site Name,Technology Type,Region,Installed Capacity (MWelec),distance_to_boundary_m,proximity_score,capacity_score,preliminary_exposure_score,screening_category
2502,Hornsea 2 - Optimus and Breesea,Wind Offshore,Offshore,1320.0,3896.2936473640543,2,2,4,High
2524,East Anglia 1 (EA 1),Wind Offshore,Offshore,714.0,0.0,2,2,4,High
2520,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,Offshore,400.0,0.0,2,2,4,High
2526,Galloper Wind Farm,Wind Offshore,Offshore,353.0,0.0,2,2,4,High
2499,Thanet ,Wind Offshore,Offshore,300.0,0.0,2,2,4,High
4673,Callagheen,Wind Onshore,Northern Ireland,22.8,0.0,2,2,4,High
4063,Pentland Road Wind Farm,Wind Onshore,Scotland,13.8,4353.640811442932,2,2,4,High
3061,Goonhilly Downs Wind Farm Repower,Wind Onshore,South West,12.0,442.45871614607864,2,2,4,High
2510,Greater Gabbard Wind Farm,Wind Offshore,Offshore,504.0,8583.655388772922,1,2,3,Medium
3096,Little Cheyne Court Wind Farm,Wind Onshore,South East,59.8,5310.5873348384885,1,2,3,Medium
9626,Richborough Energy Park - Phase 2,Battery,South East,50.1,9339.382515949363,1,2,3,Medium
8195,Richborough Energy Park,Battery,South East,49.9,9339.382515949363,1,2,3,Medium
1775,Sycamore Farm,Solar Photovoltaics,South East,20.0,6434.185569904081,1,2,3,Medium
899,North Quay ERF,EfW Incineration,South East,18.3,8213.633147033383,1,2,3,Medium
173,Discovery Park,Biomass (dedicated),South East,16.0,7434.449573693536,1,2,3,Medium
4654,Ora More,Wind Onshore,Northern Ireland,15.0,8802.775543435086,1,2,3,Medium
1382,Home Farm (Knowlton - solar),Solar Photovoltaics,South East,11.5,9047.88516391276,1,2,3,Medium
2368,Pashley Farm,Solar Photovoltaics,South East,11.5,6848.841394139928,1,2,3,Medium
2075,Tilmanstone Colliery,Solar Photovoltaics,South East,10.0,6819.019163440237,1,2,3,Medium
4272,Point Wind / Beinn Ghrideag Farm,Wind Onshore,Scotland,9.0,8064.88718707154,1,2,3,Medium
2043,Natewood Farm,Solar Photovoltaics,South East,8.9,9275.391070077121,1,2,3,Medium
3670,Lochcarnan Community Windfarm,Wind Onshore,Scotland,6.9,0.0,2,1,3,Medium
4952,Land At Guston Court Farm,Solar Photovoltaics,South East,5.0,0.0,2,1,3,Medium
1543,Goonhilly Downs - PV,Solar Photovoltaics,South West,4.5,0.0,2,1,3,Medium
3745,North Yell Wind Farm (Garth Community Wind Farm),Wind Onshore,Scotland,4.5,0.0,2,1,3,Medium
